trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.999}",25,0,-144.30768571395117,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
2,False,"{'a': 0.2, 'e': 0.998001}",20,0,-89.9428499697493,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.2, 'e': 0.997002999}",25,0,-145.55880393092082,"{0: 13, 1: 4, 2: 4, 3: 3, 4: 1}",0
4,False,"{'a': 0.2, 'e': 0.996005996001}",20,0,-51.37790808082153,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.2, 'e': 0.995009990004999}",20,0,-182.1561131912183,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 3}",0
6,False,"{'a': 0.2, 'e': 0.994014980014994}",30,0,-146.73534669026188,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.2, 'e': 0.993020965034979}",30,0,-233.64980329342134,"{0: 16, 1: 3, 2: 6, 3: 1, 4: 4}",0
8,False,"{'a': 0.2, 'e': 0.9920279440699441}",25,18,-13.622412210409802,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
9,False,"{'a': 0.2, 'e': 0.9910359161258742}",20,10,-20.47593123109236,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.2, 'e': 0.9900448802097482}",20,7,-37.87469459021013,"{0: 9, 1: 2, 2: 0, 3: 2, 4: 0}",1
11,False,"{'a': 0.2, 'e': 0.9890548353295385}",20,11,-38.111161478731304,"{0: 4, 1: 1, 2: 4, 3: 0, 4: 0}",1
12,False,"{'a': 0.2, 'e': 0.988065780494209}",25,4,-72.48979737049315,"{0: 14, 1: 0, 2: 6, 3: 1, 4: 0}",1
13,False,"{'a': 0.2, 'e': 0.9870777147137147}",20,0,-82.30613395046838,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.2, 'e': 0.986090636999001}",30,0,-193.85356325197074,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
15,False,"{'a': 0.2, 'e': 0.9851045463620021}",20,0,-47.97801598891931,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.2, 'e': 0.98411944181564}",20,0,-115.03459057949067,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
17,False,"{'a': 0.2, 'e': 0.9831353223738244}",20,0,-110.08680987329335,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 0}",0
18,False,"{'a': 0.2, 'e': 0.9821521870514506}",30,0,-180.08036069508296,"{0: 12, 1: 9, 2: 7, 3: 0, 4: 2}",0
19,False,"{'a': 0.2, 'e': 0.9811700348643991}",30,0,-123.04279599462104,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
20,False,"{'a': 0.2, 'e': 0.9801888648295347}",35,9,-102.91823109595829,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 2}",1
21,False,"{'a': 0.2, 'e': 0.9792086759647052}",25,0,-89.56280979727983,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
22,False,"{'a': 0.2, 'e': 0.9782294672887405}",20,0,-79.09641084975462,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
23,False,"{'a': 0.2, 'e': 0.9772512378214517}",30,0,-174.59097417140055,"{0: 16, 1: 2, 2: 10, 3: 0, 4: 2}",0
24,False,"{'a': 0.2, 'e': 0.9762739865836303}",25,0,-68.74874579204572,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
25,False,"{'a': 0.2, 'e': 0.9752977125970467}",20,0,-129.69449984490123,"{0: 8, 1: 4, 2: 6, 3: 1, 4: 1}",0
26,False,"{'a': 0.2, 'e': 0.9743224148844496}",25,0,-10.963129124219925,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
27,False,"{'a': 0.2, 'e': 0.9733480924695651}",25,0,-72.81269245684898,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
28,False,"{'a': 0.2, 'e': 0.9723747443770956}",30,0,-166.7497306379548,"{0: 18, 1: 3, 2: 4, 3: 3, 4: 2}",0
29,False,"{'a': 0.2, 'e': 0.9714023696327185}",20,0,-111.66827447560203,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
30,False,"{'a': 0.2, 'e': 0.9704309672630859}",25,0,-94.60935037229778,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
31,False,"{'a': 0.2, 'e': 0.9694605362958227}",25,0,-40.96779066057855,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
32,False,"{'a': 0.2, 'e': 0.9684910757595269}",25,0,-130.05618133446268,"{0: 18, 1: 2, 2: 1, 3: 2, 4: 2}",0
33,False,"{'a': 0.2, 'e': 0.9675225846837673}",20,0,-104.86249492798493,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
34,False,"{'a': 0.2, 'e': 0.9665550620990835}",20,0,-113.9086722802453,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
35,False,"{'a': 0.2, 'e': 0.9655885070369844}",20,0,-56.680677222664784,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
36,False,"{'a': 0.2, 'e': 0.9646229185299474}",20,0,-82.72687102350757,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
37,False,"{'a': 0.2, 'e': 0.9636582956114175}",30,0,-111.6720567265839,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
38,False,"{'a': 0.2, 'e': 0.9626946373158061}",30,0,-121.68031112310948,"{0: 19, 1: 7, 2: 1, 3: 1, 4: 2}",0
39,False,"{'a': 0.2, 'e': 0.9617319426784903}",20,0,-117.87664028712828,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
40,False,"{'a': 0.2, 'e': 0.9607702107358118}",20,0,-209.78687861381167,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
41,False,"{'a': 0.2, 'e': 0.959809440525076}",30,0,-127.5732862255848,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
42,False,"{'a': 0.2, 'e': 0.9588496310845509}",20,0,-60.18403290744428,"{0: 11, 1: 6, 2: 2, 3: 1, 4: 0}",0
43,False,"{'a': 0.2, 'e': 0.9578907814534664}",25,1,-114.07159436978861,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 1}",1
44,False,"{'a': 0.2, 'e': 0.9569328906720129}",20,0,-128.1166014117353,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
45,False,"{'a': 0.2, 'e': 0.9559759577813409}",25,0,-65.46321092107434,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
46,False,"{'a': 0.2, 'e': 0.9550199818235596}",30,0,-169.58114467563504,"{0: 17, 1: 4, 2: 5, 3: 2, 4: 2}",0
