trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-94.13103755474792,"{0: 11, 1: 6, 2: 1, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-156.8828265530096,"{0: 11, 1: 2, 2: 2, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-122.01558514153889,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-199.91985657775336,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-136.71106613215386,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-86.97970576948504,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-189.8931115359441,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-123.82873288968649,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-80.23644352098925,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-147.59214121433746,"{0: 7, 1: 1, 2: 11, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-120.48655998438946,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-69.2633491423109,"{0: 14, 1: 6, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-97.46104357403837,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-177.59774627344828,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-226.85880597780567,"{0: 7, 1: 4, 2: 5, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-76.57899343653933,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-249.18222314855382,"{0: 11, 1: 1, 2: 8, 3: 1, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-87.14280727651246,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,10,-136.05090799903707,"{0: 6, 1: 3, 2: 3, 3: 1, 4: 2}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,0,-190.2081441758612,"{0: 18, 1: 2, 2: 12, 3: 2, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-135.69644394956353,"{0: 8, 1: 2, 2: 9, 3: 0, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-69.56107733509972,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-182.01911446739834,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 3}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-116.56065167651325,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",35,0,-230.41281547371796,"{0: 18, 1: 3, 2: 11, 3: 0, 4: 3}",0
6,True,"{'a': 0.0, 'e': 0.0}",30,0,-71.06686290161754,"{0: 20, 1: 1, 2: 9, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",30,0,-53.64504675867765,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-173.25438145369955,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-84.81258550836228,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-222.1939135585446,"{0: 12, 1: 2, 2: 6, 3: 2, 4: 3}",0
